a	2 709D 64C0
nin2	2  60A8 6041
nin2hao3	1 60A8597D
nin2lao3	1 60A88001
ning2	8  5B81 51DD 62E7 72DE 67E0 549B 752F 804D
ning2bo1	1 5B816CE2
ning2bo1shi4	1 5B816CE25E02
ning2gu4	1 51DD56FA
ning2hai3	1 5B816D77
ning2hao3	1 5B81597D
ning2he2	1 5B81548C
ning2jie2	1 51DD7ED3
ning2jing4	1 5B819759
ning2ju4	1 51DD805A
ning2ju4li4	1 51DD805A529B
ning2ke3	1 5B8153EF
ning2ken3	1 5B8180AF
ning2meng2	1 67E06AAC
ning2meng2suan1	1 67E06AAC9178
ning2meng2zhi1	1 67E06AAC6C41
ning2mou2	1 51DD7738
ning2shen2	1 51DD795E
ning2shi4	2 51DD89C6 5B8158EB
ning2si1	1 51DD601D
ning2wang4	1 51DD671B
ning2xing1er2	1 5B8199A8513F
ning2yuan4	1 5B81613F
ning2zhi1	1 51DD8102
ning2zhi4	1 51DD6EDE
ning2zhong4	1 51DD91CD
ning3	2  62E7 77C3
ning4	3  62E7 6CDE 4F5E
niu1	1  599E
niu2	1  725B
niu2bei4	1 725B80CC
niu2bi2zi	1 725B9F3B5B50
niu2che1	1 725B8F66
niu2dun4	1 725B987F
niu2jia1gou1	1 725B5BB66C9F
niu2jiao3	1 725B89D2
niu2jiao3jian1	1 725B89D25C16
niu2jin1	1 725B6D25
niu2lang2	1 725B90CE
niu2lang2zhi1nuu3	1 725B90CE7EC75973
niu2nai3	1 725B5976
niu2pai2	1 725B6392
niu2peng2	1 725B68DA
niu2pi2	1 725B76AE
niu2pi2jin1	1 725B76AE7B4B
niu2pi2qi4	1 725B813E6C14
niu2pi2tang2	1 725B76AE7CD6
niu2pi2zhi3	1 725B76AE7EB8
niu2qi4	1 725B6C14
niu2qun2	1 725B7FA4
niu2rou4	1 725B8089
niu2shi4	1 725B5E02
niu2ti3an1	1 725B4F535B89
niu2tou2shan1	1 725B59345C71
niu2yang2rou4	1 725B7F8A8089
niu2ying2	1 725B8747
niu2zai3	1 725B4ED4
niu2zai3ku4	1 725B4ED488E4
niu3	6  7EBD 626D 94AE 5FF8 72C3 9775
niu3dai4	1 7EBD5E26
niu3dong4	1 626D52A8
niu3duan4	1 626D65AD
niu3guo4	1 626D8FC7
niu3kou4	2 94AE6263 7EBD6263
niu3kui1wei2ying2	1 626D4E8F4E3A76C8
niu3ni2	1 5FF86029
niu3niu3	1 626D626D
niu3qu1	1 626D66F2
niu3tou2	1 626D5934
niu3yue1	1 7EBD7EA6
niu3zhuan3	1 626D8F6C
niu4	1  62D7
nong2	8  519C 6D53 4FAC 8113 54DD 79FE 91B2 895B
nong2cha2	1 6D538336
nong2chan3pin3	1 519C4EA754C1
nong2chang2	1 519C573A
nong2cun1	1 519C6751
nong2dan4	1 6D536DE1
nong2du4	1 6D535EA6
nong2fu4chan3pin3	1 519C526F4EA754C1
nong2fu4ye4	1 519C526F4E1A
nong2gong1	1 519C5DE5
nong2gong1wei3	1 519C5DE559D4
nong2hou4	1 6D53539A
nong2hu4	1 519C6237
nong2huo2	1 519C6D3B
nong2ji1	1 519C673A
nong2jia1	1 519C5BB6
nong2ju4	1 519C5177
nong2ken3	1 519C57A6
nong2li4	1 519C5386
nong2lie4	1 6D5370C8
nong2lin2	1 519C6797
nong2lin2mu4	1 519C67977267
nong2lin2mu4yu2	1 519C679772676E14
nong2mao4	1 519C8D38
nong2mao4shi4chang2	1 519C8D385E02573A
nong2mei2	1 6D537709
nong2mei2da4yan3	1 6D5377095927773C
nong2mi4	1 6D535BC6
nong2min2	2 519C6C11 75304EA9
nong2min2qi3yi4	1 519C6C118D774E49
nong2min2zhan4zheng1	1 519C6C1162184E89
nong2mo2	1 519C819C
nong2mo4zhong4cai3	1 6D5358A891CD5F69
nong2mu4	1 519C7267
nong2mu4min2	1 519C72676C11
nong2nong2de	1 6D536D537684
nong2nong2ya1ya1	1 54DD54DD54405440
nong2nu2	1 519C5974
nong2nu2zhu3	1 519C59744E3B
nong2shi4	1 519C4E8B
nong2suo1	1 6D537F29
nong2tian2	1 519C7530
nong2tian2shui3li4	1 519C75306C345229
nong2wei3	1 519C59D4
nong2wu4	1 6D5396FE
nong2xian2	1 519C95F2
nong2xie3	1 81138840
nong2xing2	1 519C884C
nong2yan1	1 6D5370DF
nong2yan4	1 6D538273
nong2yao4	1 519C836F
nong2ye4	1 519C4E1A
nong2ye4bu4	1 519C4E1A90E8
nong2ye4ju2	1 519C4E1A5C40
nong2yi4shi1	1 519C827A5E08
nong2yin4	1 6D53836B
nong2yong4	1 519C7528
nong2yong4che1	1 519C75288F66
nong2yu4	1 6D5390C1
nong2zhong3	1 811380BF
nong2zhong4	1 6D5391CD
nong2zi1	1 519C8D44
nong2zuo4wu4	1 519C4F5C7269
nong4	1  5F04
nong4chao2er2	1 5F046F6E513F
nong4fu3	1 5F04752B
nong4jia3cheng2zhen1	1 5F0450476210771F
nong4qiao3cheng2zhuo2	1 5F045DE7621062D9
nong4qing1	1 5F046E05
nong4tang2	1 5F045802
nong4xu1zuo4jia3	1 5F04865A4F5C5047
nou2	1  7FBA
nou4	1  8028
nu2	4  5974 9A7D 5B65 782E
nu2bi4	1 59745A62
nu2li4	1 597496B6
nu2li4she4hui4	1 597496B6793E4F1A
nu2li4zhi4	1 597496B65236
nu2yi4	1 59745F79
nu3	3  52AA 5F29 80EC
nu3er3ha1chi4	1 52AA5C1454C88D64
nu3li4	1 52AA529B
nu3nu3zui3	1 52AA52AA5634
nu3zui3	1 52AA5634
nu4	1  6012
nu4bu4ke3e4	1 60124E0D53EF904F
nu4chao2	1 60126F6E
nu4chi4	1 601265A5
nu4fa3chong1guan4	1 601253D151B251A0
nu4fang4	1 6012653E
nu4hou3	1 6012543C
nu4huo3	1 6012706B
nu4jiang1	1 60126C5F
nu4ma4	1 60129A82
nu4mu4er2shi4	1 601276EE800C89C6
nu4qi4chong1chong1	1 60126C1451B251B2
nu4rong2	1 60125BB9
nu4zu2	1 601265CF
nuan3	1  6696
nuan3he2	1 6696548C
nuan3nuan3	1 66966696
nuan3nuan3di4	1 669666965730
nuan3ping2	1 669674F6
nuan3qi4	1 66966C14
nuan3rong2rong2	1 6696878D878D
nue4	2  8650 759F
nue4dai4	1 86505F85
nue4ji2	1 759F75BE
nuo2	3  5A1C 632A 50A9
nuo2dong4	1 632A52A8
nuo2yong4	1 632A7528
nuo4	8  8BFA 61E6 558F 7CEF 9518 6426 800E 7A2C
nuo4bei4er3	1 8BFA8D1D5C14
nuo4da4	1 8BFA5927
nuo4fu1	1 61E6592B
nuo4mi3	1 7CEF7C73
nuo4ruo4	1 61E65F31
nuo4yan2	1 8BFA8A00
nuu3	4 5973 9495 6478900F 62128D4C
nuu3bing1	1 59735175
nuu3da4dang1jia4	1 597359275F535AC1
nuu3dan1	1 59735355
nuu3er2	1 5973513F
nuu3er2jia1	1 5973513F5BB6
nuu3fang1	1 597365B9
nuu3gong1	1 59735DE5
nuu3hai2	2 59735B69 77014EFD
nuu3hai2zi	1 59735B695B50
nuu3huang2	1 59737687
nuu3juan4	1 59737737
nuu3lang2	1 597390CE
nuu3liu2	1 59736D41
nuu3pai2	1 59736392
nuu3peng2you3	1 5973670B53CB
nuu3pu2	1 59734EC6
nuu3qiang2ren2	1 59735F3A4EBA
nuu3quan2	1 59736743
nuu3ren2	1 59734EBA
nuu3shen2	1 5973795E
nuu3sheng1	1 5973751F
nuu3shi1	1 59735C38
nuu3shi4	1 597358EB
nuu3wa1	1 59735A32
nuu3wa1shi4	1 59735A326C0F
nuu3wang2	1 5973738B
nuu3xia2	1 59734FA0
nuu3xing4	2 59736027 624E67D3
nuu3xing4hua4	1 597360275316
nuu3xu4	2 59735A7F 4E0065B0
nuu3ying1	1 59735A74
nuu3yong4	1 59734F63
nuu3you3	1 597353CB
nuu3zhong1	1 59734E2D
nuu3zhong1yin1	1 59734E2D97F3
nuu3zhu3ren2	1 59734E3B4EBA
nuu3zhuang1	1 597388C5
nuu3zi	2 59735B50 59577248
nuu3zizu3	1 59735B507EC4
nuu3zuo4jia1	1 59734F5C5BB6
nv3	2  5973 9495
nv4	3  8844 6067 8842
o	1  7B7D
o1	2  5662 5594
o2	1  54E6
o4	1  54E6
ou1	8  533A 6B27 6BB4 9E25 8BB4 6CA4 74EF 93C2
ou1an1hui4	1 6B275B894F1A
ou1da3	1 6BB46253
ou1dou4	1 6BB46597
ou1ge1	1 8BB46B4C
ou1gong4ti3	1 6B2751714F53
ou1la1	1 6B2762C9
ou1mai4er3	1 6B279EA65C14
ou1mai4er3·sa4li4he4	1 6B279EA65C14B7842852298D6B
ou1mei3	1 6B277F8E
ou1mu3ding4luu4	1 6B2759C65B9A5F8B
ou1wo4la1bi3	1 6B276C8362C96BD4
ou1yang2	1 6B279633
ou1zhou1	1 6B276D32
ou1zhou1shi4	1 6B276D325F0F
ou3	5  5076 5455 85D5 8026 8545
ou3er3	1 50765C14
ou3fa1	1 507653D1
ou3he2	1 80265408
ou3ran2	1 50767136
ou3ran2xing4	1 507671366027
ou3shu4	1 50766570
ou3tu3	1 54555410
ou3xiang4	1 507650CF
ou3xin1li4xie3	1 54555FC36CA58840
ou4	2  6CA4 6004
ou4fei2	1 6CA480A5
ou4ou4ou4	1 566256625662
pa1	3  556A 8DB4 8469
pa2	6  722C 6252 7436 8019 6777 7B62
pa2pa2	1 722C722C
pa2shan1	1 722C5C71
pa2shan1yue4ling3	1 722C5C718D8A5CAD
pa2shang4	1 722C4E0A
pa2xing2	1 722C884C
pa4	2  6015 5E15
pa4de2mo2wa3ti2	1 5E155FB7646974E663D0
pa4le4si1te4li3na4	1 5E1552D265AF727991CC7EB3
pa4pa4mu4ha1la1	1 5E155E15672854C862C9
pa4ren2	1 60154EBA
pa4shi4	1 60154E8B
pa4te4	1 5E157279
pa4xiu1	1 60157F9E
pai1	1  62CD
pai1an4er2qi3	1 62CD6848800C8D77
pai1ban3	1 62CD677F
pai1da3	1 62CD6253
pai1ji2	1 62CD51FB
pai1leng2	1 556A695E
pai1ma3pi4	1 62CD9A6C5C41
pai1mai4	1 62CD5356
pai1mai4hui4	1 62CD53564F1A
pai1pai1	1 62CD62CD
pai1she4	1 62CD6444
pai1shou3	1 62CD624B
pai1zhao4	1 62CD7167
pai1zhuo1zi	1 62CD684C5B50
pai2	5  6392 724C 5F98 4FF3 7C30
pai2bi3	1 63926BD4
pai2cha2	1 639267E5
pai2chang2	1 6392573A
pai2chi4	1 639265A5
pai2chu2	1 63929664
pai2chu2fa3	1 639296646CD5
pai2ding4	1 63925B9A
pai2dui4	1 6392961F
pai2fang2	1 724C574A
pai2fang4	1 6392653E
pai2fang4liang4	1 6392653E91CF
pai2guan4	1 6392704C
pai2hang2	1 6392884C
pai2hao4	1 724C53F7
pai2huai2	1 5F985F8A
pai2ji4	1 724C6280
pai2jia4	1 724C4EF7
pai2jie3	1 639289E3
pai2jiu3	1 724C4E5D
pai2lian2	1 63928054
pai2lian4	1 63927EC3
pai2lie4	1 63925217
pai2lou2	1 724C697C
pai2luan3	1 63925375
pai2ming2	1 6392540D
pai2qi4	1 63926C14
pai2qian3	1 63929063
pai2qiu2	1 63927403
pai2shan1dao3hai3	1 63925C7150126D77
pai2shui3	1 63926C34
pai2ta1xing4	1 63924ED66027
pai2tou2	1 63925934
pai2wei3	1 63925C3E
pai2wei4	1 724C4F4D
pai2wu1	1 63926C61
pai2xie4	1 63926CC4
pai2xie4wu4	1 63926CC47269
pai2xing4	1 724C6027
pai2xu4	1 63925E8F
pai2yan3	2 63926F14 51BB6B7B
pai2you1jie3nan2	1 63925FE789E396BE
pai2zhang3	1 6392957F
pai2zhao4	1 724C7167
pai2zi	1 724C5B50
pai3	1  6392
pai4	3  6D3E 6E43 54CC
pai4bie2	1 6D3E522B
pai4bing1	1 6D3E5175
pai4chu1	2 6D3E51FA 75595B664EBA5458
pai4chu1suo3	1 6D3E51FA6240
pai4ke4	1 6D3E514B
pai4qian3	2 6D3E9063 6D3E8C34
pai4qu1	1 6D3E533A
pai4ren2	1 6D3E4EBA
pai4sheng1	1 6D3E751F
pai4tou2	1 6D3E5934
pai4xi4	1 6D3E7CFB
pai4yuan2	1 6D3E5458
pai4zhu4	1 6D3E9A7B
pan1	5  756A 6F58 6500 6273 7705
pan1deng1	1 6500767B
pan1fu4	1 65009644
pan1long2fu4feng4	1 65009F99964451E4
pan1mo4	1 6F586F20
pan1qin1	1 65004EB2
pan1shang4	1 65004E0A
pan1sheng1	1 65005347
pan1tan2	1 65008C08
pan1teng2fu4ge2	1 650085E49644845B
pan1zhi1hua1	1 6500679D82B1
pan2	6  76D8 78D0 8E52 87E0 81B0 8E2B
pan2cha2	1 76D867E5
pan2dian3	1 76D870B9
pan2geng1	1 76D85E9A
pan2gu3	1 76D853E4
pan2heng2	1 76D86052
pan2huan2	1 76D86853
pan2jie2	1 76D88BD8
pan2jin3	1 76D89526
pan2ju4	1 76D88E1E
pan2pan2jie2jie2	1 76D876D87ED37ED3
pan2shan1lu4	1 76D85C718DEF
pan2shi2	1 78D077F3
pan2suan4	1 76D87B97
pan2tui3	1 76D8817F
pan2wen4	1 76D895EE
pan2xuan2	1 76D865CB
pan2zheng3	1 76D86574
pan2zi	1 76D85B50
pan3	1  76FB
pan4	10  5224 53DB 76FC 7554 62DA 88A2 6CEE 897B 92EC 772B
pan4bian4	1 53DB53D8
pan4bie2	1 5224522B
pan4bo2	1 62DA640F
pan4chu3	1 52245904
pan4ding4	1 52245B9A
pan4duan4	1 522465AD
pan4duan4ju4	1 522465AD53E5
pan4duan4li4	1 522465AD529B
pan4fa2	1 52247F5A
pan4guan1	1 52245B98
pan4guo2	1 53DB56FD
pan4guo2zui4	1 53DB56FD7F6A
pan4jue2	1 522451B3
pan4jun1	1 53DB519B
pan4luan4	1 53DB4E71
pan4ming2	1 5224660E
pan4ming4	1 62DA547D
pan4ni4	1 53DB9006
pan4ruo4liang3ren2	1 522482E54E244EBA
pan4tu2	1 53DB5F92
pan4wang4	1 76FC671B
pan4xing2	1 52245211
pang1	4  8180 4E53 6EC2 96F1
pang1tuo2	1 6EC26CB1
pang2	10  65C1 5E9E 8180 78C5 5F77 8783 9004 9CD1 8DBD 882D
pang2bian1	1 65C18FB9
pang2da4	1 5E9E5927
pang2guan1zhe3	1 65C189C28005
pang2huang2	1 5F775FA8
pang2ji2	1 65C153CA
pang2men2zuo3dao4	1 65C195E85DE69053
pang2ran2da4wu4	1 5E9E713659277269
pang2ren2	1 65C14EBA
pang2ruo4wu2ren2	1 65C182E565E04EBA
pang2xie4	1 878387F9
pang2za2	1 5E9E6742
pang2zheng4	1 65C18BC1
pang2zhi1	1 65C1652F
pang3	1  802A
pang3di4	1 802A5730
pang4	1  80D6
pang4dun1dun1	1 80D658A958A9
pang4hu1hu1	1 80D64E4E4E4E
pang4pang4	1 80D680D6
pang4xiao3zi	1 80D65C0F5B50
pang4zi	1 80D65B50
pao1	3  629B 6CE1 812C
pao1kai1	1 629B5F00
pao1mao2	1 629B951A
pao1qi4	1 629B5F03
pao1shou4	1 629B552E
pao1tou2lu4mian4	1 629B593497329762
pao1zhi2	1 629B63B7
pao2	10  888D 5486 5228 5E96 9F85 530F 72CD 9E85 9784 891C
pao2xiao1	1 548654EE
pao2zi	1 888D5B50
pao3	1  8DD1
pao3bian4	1 8DD1904D
pao3bu4	1 8DD16B65
pao3che1	1 8DD18F66
pao3dao4	1 8DD19053
pao3jiang1hu2	1 8DD16C5F6E56
pao3long2tao4	1 8DD19F995957
pao3pao3	1 8DD18DD1
pao3qian2pao3hou4	1 8DD1524D8DD1540E
pao3ti2	1 8DD19898
pao4	7  70AE 6CE1 75B1 7832 7A8C 792E 8422
pao4bing1	1 70AE5175
pao4bing4hao4	1 6CE175C553F7
pao4cha2	1 6CE18336
pao4dan4	1 70AE5F39
pao4fan4	1 6CE1996D
pao4huo3	1 70AE706B
pao4mo4	1 6CE16CAB
pao4sheng1	1 70AE58F0
pao4shou3	1 70AE624B
pao4te4jin1	1 6CE1727991D1
pao4tong2	1 6CE16850
pao4tong2shu4	1 6CE168506811
pao4ying3	1 6CE15F71
pao4zhi4	1 70AE5236
pei1	4  80DA 5478 9185 80A7
pei1tai1	1 80DA80CE
pei1ya2	1 80DA82BD
pei2	5  57F9 966A 8D54 88F4 952B
pei2ban4	1 966A4F34
pei2ben3	1 8D54672C
pei2bu2shi4	1 8D544E0D662F
pei2chang2	1 8D54507F
pei2chang2jin1	1 8D54507F91D1
pei2chen4	1 966A886C
pei2du2	1 966A8BFB
pei2gang1	1 57F9521A
pei2gen1	1 57F96839
pei2hong2	1 57F97EA2
pei2hu3	1 57F9864E
pei2jia4	1 966A5AC1
pei2ke4	1 966A5BA2
pei2kuan3	1 8D546B3E
pei2li3	1 8D54793C
pei2li3dao4qian4	1 8D54793C90536B49
pei2lian4	1 5C3D5FC35C3D529B
pei2luo2	1 57F97F57
pei2pei2	1 966A966A
pei2qian2	1 8D5494B1
pei2tong2	1 966A540C
pei2xiao4	1 8D547B11
pei2xun4	1 57F98BAD
pei2xun4ban1	1 57F98BAD73ED
pei2yang3	1 57F9517B
pei2yang3fei4	1 57F9517B8D39
pei2yang3ji1	1 57F9517B57FA
pei2yu4	2 57F980B2 96EA677E
pei2zhen1	1 57F9771F
pei2zhi2	1 57F9690D
pei2zui4	1 8D547F6A
pei4	8  914D 4F69 6C9B 8F94 65C6 5E14 9708 8337
pei4bi3	1 914D6BD4
pei4da1	1 914D642D
pei4dai4	3 4F696234 4F695E26 914D6234
pei4dian4	1 914D7535
pei4dui4	1 914D5BF9
pei4e2	1 914D989D
pei4fang1	1 914D65B9
pei4fu2	1 4F69670D
pei4gei3	1 914D7ED9
pei4guo2feng1	1 6C9B56FD4E30
pei4he2	1 914D5408
pei4jian4	1 4F695251
pei4jiao3	1 914D89D2
pei4lei2si1·de2kui2li4ya4er3	1 4F6996F765AFB75FB7594E52294E9A5C14
pei4liao4	1 914D6599
pei4ou3	1 914D5076
pei4se4	1 914D8272
pei4si1	1 4F6965AF
pei4tao4	1 914D5957
pei4xian2	1 4F695F26
pei4you3	1 914D6709
pei4zhi4	2 914D7F6E 914D5236
pen1	1  55B7
pen1bo2er2chu1	1 55B78584800C51FA
pen1fa1	1 55B753D1
pen1hu2	1 55B758F6
pen1huo3qi4	1 55B7706B5668
pen1jian4	1 55B76E85
pen1quan2	1 55B76CC9
pen1sa3	1 55B76D12
pen1wu4qi4	1 55B796FE5668
pen1xiang1	1 55B79999
pen2	2  76C6 6E53
pen2di4	1 76C65730
pen2hua1	1 76C682B1
pen2jing3	1 76C6666F
pen2zai1	1 76C6683D
pen2zi	1 76C65B50
pen3	1  7FF8
pen4	1  55B7
peng1	9  7830 62A8 70F9 6026 562D 8EFF 959B 78DE 8F27
peng1ji2	1 62A851FB
peng1pai4	1 6F8E6E43
peng1peng1	2 78307830 60266026
peng1peng1peng1	1 783078307830
peng1ran2	1 60267136
peng1ran2xin1dong4	2 783071365FC352A8 602671365FC352A8
peng1ren4	1 70F9996A
peng1tiao2	1 70F98C03
peng1tiao2fa3	1 70F98C036CD5
peng2	16  670B 5F6D 9E4F 84EC 81A8 68DA 7BF7 6F8E 787C 87DB 580B 7E84 8283 9AFC 97FC 9B05
peng2bo2	1 84EC52C3
peng2cheng2	2 9E4F57CE 9E4F7A0B
peng2chuan2	1 84EC8239
peng2dang3	1 670B515A
peng2ding3	1 84EC9876
peng2lai2	1 84EC83B1
peng2shou3gou4mian4	1 84EC999657A29762
peng2song1	1 84EC677E
peng2suan1	1 787C9178
peng2tou2gou4mian4	1 84EC593457A29762
peng2you3	1 670B53CB
peng2zhang4	1 81A880C0
peng2zi	1 68DA5B50
peng3	1  6367
peng4	1  78B0
peng4bei1	1 78B0676F
peng4dao4	1 78B05230
peng4jian4	1 78B089C1
peng4peng4	1 78B078B0
peng4peng4chuan2	1 78B078B08239
peng4shang4	1 78B04E0A
peng4yun4qi4	1 78B08FD06C14
peng4zhuang4	2 78B0649E 89E67535
pi1	15  6279 5339 62AB 5288 9739 4E15 576F 567C 7812 7EB0 90B3 9C8F 9B7E 9303 79E0
pi1bo2	1 62799A73
pi1chai2	1 528867F4
pi1chu3li3	1 627959047406
pi1dou4	1 62796597
pi1fa1	1 627953D1
pi1fa1jia4	1 627953D14EF7
pi1fa1shang1	1 627953D15546
pi1feng1	1 62AB98CE
pi1fu4	1 6279590D
pi1gai3	1 62796539
pi1gan1li4dan3	1 62AB809D6CA580C6
pi1jian1	1 62AB80A9
pi1jin1	1 82B15349
pi1jing1zhan3ji2	1 62AB834665A968D8
pi1kai1	1 52885F00
pi1lei2	1 973996F7
pi1li1pa1la1	1 55DE91CC53ED5566
pi1li4	1 973996F3
pi1liang4	1 627991CF
pi1lou4	1 7EB06F0F
pi1lu4	1 62AB9732
pi1pan4	1 62795224
pi1pan4xing4	1 627952246027
pi1pi1pai1pai1	1 52885288556A556A
pi1ping2	1 62798BC4
pi1san3	1 62AB6563
pi1shi4	1 6279793A
pi1shuang1	1 7812971C
pi1tou2	1 52885934
pi1tou2san3fa3	1 62AB5934656353D1
pi1wen2	1 62796587
pi1xian3	1 4E15663E
pi1xing1dai4yue4	1 62AB661F62346708
pi1zhu4	1 62796CE8
pi1zhun3	1 627951C6
pi1zhun3shu1	1 627951C64E66
pi1zu1	1 627979DF
pi2	22  76AE 75B2 813E 5564 6BD7 7435 88E8 9642 6787 7F74 9F19 94CD 868D 8C94 8731 8298 90EB 57E4 9674 8157 7BFA 96A6
pi2ao3	1 76AE8884
pi2bao1	1 76AE5305
pi2bei4	1 75B260EB
pi2bei4bu4kan1	1 75B260EB4E0D582A
pi2dai4	1 76AE5E26
pi2er3·ka3dan1	1 76AE5C14B753614E39
pi2fa2	1 75B24E4F
pi2fu1	1 76AE80A4
pi2ge2	1 76AE9769
pi2ge2ma3li4weng1	1 76AE683C9A6C52297FC1
pi2hua2ting3	1 76AE52128247
pi2huo4	1 76AE8D27
pi2jia1ke4	1 76AE8304514B
pi2jia2ke4	1 76AE5939514B
pi2jin4	1 6BD78FD1
pi2jiu3	3 55649152 98CE6E7F75C5 4E7354C1
pi2jiu3ping2	1 5564915274F6
pi2ju4	1 76AE5177
pi2juan4	1 75B25026
pi2kou3	1 76AE53E3
pi2lao2	1 75B252B3
pi2lin2	1 6BD790BB
pi2mao2	1 76AE6BDB
pi2mao4	1 76AE5E3D
pi2mian2	1 76AE68C9
pi2mian4	1 76AE9762
pi2pa2	1 74357436
pi2pa2xing2	1 74357436884C
pi2qi4	1 813E6C14
pi2rou4	1 76AE8089
pi2ru4zi	1 76AE89255B50
pi2ruan3	1 75B28F6F
pi2she3li2	1 6BD7820D79BB
pi2xia4zu3zhi1	1 76AE4E0B7EC47EC7
pi2xiang1	1 76AE7BB1
pi2xiao4rou4bu4xiao4	1 76AE7B1180894E0D7B11
pi2xie2	1 76AE978B
pi2xing4	1 813E6027
pi2xue1	1 76AE9774
pi2yan2	1 76AE708E
pi2yi1	1 76AE8863
pi2ying3xi4	1 76AE5F71620F
pi2zhi2	1 76AE8D28
pi2zhi3	1 76AE7EB8
pi2zi	1 76AE5B50
pi3	9  5426 5339 5288 7656 75DE 572E 5E80 4EF3 64D7
pi3di2	1 5339654C
pi3fu1you3ze2	1 5339592B67098D23
pi3pei4	1 5339914D
pi3zi	1 75DE5B50
pi4	9  8F9F 5C41 8B6C 50FB 5AB2 7765 7513 6DE0 95E2
pi4gu3	1 5C4180A1
pi4hao4	1 7656597D
pi4jing4	1 50FB9759
pi4pi4pai1pai1	1 8F9F8F9F62CD62CD
pi4rang3	1 50FB58E4
pi4ru2	1 8B6C5982
pi4ru2shuo1	1 8B6C59828BF4
pi4yuan3	1 50FB8FDC
pian1	6  7247 7BC7 504F 6241 7FE9 728F
pian1ai4	1 504F7231
pian1cha1	1 504F5DEE
pian1fei4	1 504F5E9F
pian1fu2	1 7BC75E45
pian1guang1jing4	1 504F5149955C
pian1hao3	1 504F597D
pian1ji1	1 504F6FC0
pian1jian4	1 504F89C1
pian1li2	1 504F79BB
pian1ming2	1 7BC7540D
pian1pang2	1 504F65C1
pian1pi4	1 504F50FB
pian1pian1	3 504F504F 7FE97FE9 7BC77BC7
pian1pian1fei1wu3	1 7FE97FE998DE821E
pian1pian1qi3wu3	1 7FE97FE98D77821E
pian1po3	1 504F9887
pian1ran2	1 7FE97136
pian1shen2	1 7BC74EC0
pian1shi2	1 504F98DF
pian1shi4	1 504F5BA4
pian1tan1	1 504F762B
pian1ting1pian1xin4	1 504F542C504F4FE1
pian1wu4	1 504F8BEF
pian1xia2	1 504F72ED
pian1xiang4	1 504F5411
pian1xin1	1 504F5FC3
pian1ye4	1 7BC79875
pian1yuan3	1 504F8FDC
pian1zhang1	1 7BC77AE0
pian1zhi2	1 504F6267
pian1zhong4	1 504F91CD
pian2	6  4FBF 533E 9A88 80FC 8E41 9ABF
pian2wen2	1 9A886587
pian2yi2	1 4FBF5B9C
pian2zi	1 8E415B50
pian3	1  8C1D
pian4	3  7247 9A97 9B78
pian4duan4	2 72476BB5 724765AD
pian4jia3bu4liu2	1 724775324E0D7559
pian4ju2	1 9A975C40
pian4ke4	1 7247523B
pian4mian4	1 72479762
pian4mian4xing4	1 724797626027
pian4pian4	1 72477247
pian4qu3	1 9A9753D6
pian4ren2	1 9A974EBA
pian4shu4	1 9A97672F
pian4shui4	1 9A977A0E
pian4tou2	1 72475934
pian4yan2zhi1zi4	1 72478A0053EA5B57
pian4zi	2 72475B50 9A975B50
piao1	7  98D8 6F02 527D 7F25 87B5 78E6 9B52
piao1bai2fen3	1 6F02767D7C89
piao1bo2	1 6F026CCA
piao1dang4	1 98D88361
piao1dong4	1 98D852A8
piao1fu2	3 98D86D6E 98D862C2 6F026D6E
piao1fu2wu4	1 6F026D6E7269
piao1liang4	1 6F024EAE
piao1ling2	1 98D84F36
piao1luo4	1 98D8843D
piao1miao3	2 98D87F08 98D86E3A
piao1piao1	1 98D898D8
piao1piao1dang4dang4	1 98D898D883618361
piao1piao1liang4liang4	1 6F026F024EAE4EAE
piao1piao1ran2	1 98D898D87136
piao1piao1yu4xian1	1 98D898D86B324ED9
piao1ran2	1 98D87136
piao1sa3	1 98D86D12
piao1san3	1 98D86563
piao1xi3	1 6F026D17
piao1yang2	1 98D8626C
piao1yang2guo4hai3	2 98D86D0B8FC76D77 6F026D0B8FC76D77
piao1yi2	2 98D879FB 6F0279FB
piao1yi4	1 98D89038
piao2	2  5AD6 74E2
piao2ke4	1 5AD65BA2
piao3	6  6F02 779F 7F25 83A9 6B8D 91A5
piao3miao3	1 7F257F08
piao4	4  7968 6F02 560C 9AA0
piao4e2	1 7968989D
piao4fan4	1 79688D29
piao4fang2	1 7968623F
piao4han4	1 527D608D
piao4jia4	1 79684EF7
piao4ju4	1 7968636E
piao4kuan3	1 79686B3E
piao4qie4	1 527D7A83
piao4shu4	1 79686570
piao4zheng4	1 79688BC1
piao4zi	1 79685B50
pie1	3  77A5 6487 6C15
pie1jian4	1 77A589C1
pie3	2  6487 82E4
pie3kai1	1 64875F00
pie3xia4	1 64874E0B
pie3zui3	1 64875634
pin1	3  62FC 62DA 59D8
pin1bo2	1 62FC640F
pin1cou4	1 62FC51D1
pin1fu4	1 59D85987
pin1jie1	1 62FC63A5
pin1jin4	1 62FC52B2
pin1ming4	1 62FC547D
pin1sha1	1 62FC6740
pin1si3	1 62FC6B7B
pin1tou2	1 59D85934
pin1xie3	1 62FC5199
pin1yin1	1 62FC97F3
pin1yin1wen2zi4	1 62FC97F365875B57
pin2	5  8D2B 9891 82F9 5AD4 98A6
pin2dao4	1 98919053
pin2du4	1 98915EA6
pin2fa2	1 8D2B4E4F
